name,title,image
Ryan Petschek,Director,/assets/exec/ryan.jpg
Julian Golombek,Director,/assets/exec/julian.jpg
Jordan Madison,Director of Communications,/assets/exec/jordan.jpg
Alicia Chan,Director of Design,/assets/exec/alicia.jpg
Rahul Ajmera,Director of Finance,/assets/exec/rahul.jpg
Jordan Harvey-Morgan,Director of Operations,/assets/exec/jordan_ops.jpg
Ellie Morton,Director of Operations,/assets/exec/ellie.jpg
Kexin Zhang,Director of Technology,/assets/exec/kexin.jpg
