name,title,image
Pavleen Thukral,Director,/assets/exec/pav.jpg
Shehmeer Jiwani,Director,/assets/exec/shehmeer.jpg
Sidney Durant,Director of Operations,/assets/exec/sidney.jpg
Pooja Vaidya,Director of Marketing,/assets/exec/pooja.jpg
Richard Li,Director of Technology,/assets/exec/richard.jpg
