name,title,image
Ehsan Asdar,Director
Ellie Morton,Director
Allison Ronan,Director of Marketing
Jordan Madison,Director of Marketing
Julian Golombek,Director of Marketing
Alicia Chan,Director of Design
James Lu,Director of Operations
Joel Ye,Director of Technology
